date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:26:05	42766/42766	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Mar%202017%2012:43:12%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/owl.carousel.min.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/owl.carousel.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:05	8051/8051	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Feb%202018%2023:36:58%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/waypoints.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/waypoints.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:05	5447/5447	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2000:33:32%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/imagesloaded.pkgd.min.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/imagesloaded.pkgd.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:07	34695/34695	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2000:34:06%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/isotope.pkgd.min.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/isotope.pkgd.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:07	2947/2947	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Feb%202018%2020:59:38%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/nice-select-plugin.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/nice-select-plugin.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:07	1661/1661	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Mar%202018%2023:57:00%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/medituch-cube.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/medituch-cube.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:08	20228/20228	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2000:34:36%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/jquery.magnific-popup.min.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/jquery.magnific-popup.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:08	5595/5595	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2000:31:42%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/plugins.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/plugins.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:08	2924/2924	---M--	200	added ('OK')	application/javascript	date:Tue,%2013%20Mar%202018%2017:25:04%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/jQuery.scrollSpeed.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/jQuery.scrollSpeed.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:08	10537/10537	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20Apr%202018%2017:46:46%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/scripts.js	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/scripts.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:26:19	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2006:15:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont.eot?v=4.6.3	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont5b62.eot	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/font-awesome.min.css)
13:26:21	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2030%20Jul%202016%2006:15:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont.eot?	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfontd41d.eot	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/font-awesome.min.css)
13:26:21	71896/71896	---M--	200	added ('OK')	font/woff2	date:Sat,%2030%20Jul%202016%2006:15:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont5b62.woff2	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/font-awesome.min.css)
13:26:26	391622/391622	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Jul%202016%2006:15:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont.svg?v=4.6.3	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont5b62.svg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/font-awesome.min.css)
13:26:28	8138/8138	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Mar%202018%2015:32:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/Flaticon.eot	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/Flaticon.eot	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/flaticon.css)
13:26:29	5488/5488	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Mar%202018%2015:32:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/Flaticon.woff	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/Flaticon.woff	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/flaticon.css)
13:26:29	90412/90412	---M--	200	added ('OK')	font/woff	date:Sat,%2030%20Jul%202016%2006:15:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont.woff?v=4.6.3	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/fontawesome-webfont5b62.woff	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/font-awesome.min.css)
13:26:30	47589/47589	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Mar%202018%2015:32:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/Flaticon.svg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/fonts/Flaticon.svg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/flaticon.css)
